ArrayBuffer(cold, gradable, gradable)
ArrayBuffer(able, notgradable, gradable)
ArrayBuffer(acceptable, notgradable, gradable)
ArrayBuffer(accurate, gradable, gradable)
ArrayBuffer(active, gradable, gradable)
ArrayBuffer(adequate, notgradable, gradable)
ArrayBuffer(afraid, gradable, gradable)
ArrayBuffer(aggressive, gradable, gradable)
ArrayBuffer(ambitious, gradable, gradable)
ArrayBuffer(angry, gradable, gradable)
ArrayBuffer(appropriate, notgradable, gradable)
ArrayBuffer(attractive, gradable, gradable)
ArrayBuffer(aware, gradable, gradable)
ArrayBuffer(bad, gradable, gradable)
ArrayBuffer(bearish, gradable, gradable)
ArrayBuffer(big, gradable, gradable)
ArrayBuffer(bitter, gradable, gradable)
ArrayBuffer(black, notgradable, gradable)
ArrayBuffer(blue, notgradable, gradable)
ArrayBuffer(brief, notgradable, gradable)
ArrayBuffer(bright, gradable, gradable)
ArrayBuffer(broad, gradable, gradable)
ArrayBuffer(bullish, gradable, gradable)
ArrayBuffer(busy, gradable, gradable)
ArrayBuffer(capable, gradable, gradable)
ArrayBuffer(careful, gradable, gradable)
ArrayBuffer(cautious, gradable, gradable)
ArrayBuffer(certain, notgradable, gradable)
ArrayBuffer(cheap, gradable, gradable)
ArrayBuffer(clear, gradable, gradable)
ArrayBuffer(close, gradable, gradable)
ArrayBuffer(cold, gradable, gradable)
ArrayBuffer(comfortable, gradable, gradable)
ArrayBuffer(competitive, gradable, gradable)
ArrayBuffer(complete, notgradable, gradable)
ArrayBuffer(complex, gradable, gradable)
ArrayBuffer(comprehensive, notgradable, gradable)
ArrayBuffer(confident, gradable, gradable)
ArrayBuffer(confidential, notgradable, gradable)
ArrayBuffer(conservative, notgradable, gradable)
ArrayBuffer(considerable, notgradable, gradable)
ArrayBuffer(consistent, gradable, gradable)
ArrayBuffer(controversial, notgradable, gradable)
ArrayBuffer(conventional, notgradable, gradable)
ArrayBuffer(correct, notgradable, gradable)
ArrayBuffer(costly, gradable, gradable)
ArrayBuffer(covert, notgradable, gradable)
ArrayBuffer(creative, notgradable, gradable)
ArrayBuffer(critical, gradable, gradable)
ArrayBuffer(crucial, notgradable, gradable)
ArrayBuffer(dangerous, gradable, gradable)
ArrayBuffer(deep, gradable, gradable)
ArrayBuffer(democratic, notgradable, gradable)
ArrayBuffer(dependent, gradable, gradable)
ArrayBuffer(different, gradable, gradable)
ArrayBuffer(difficult, gradable, gradable)
ArrayBuffer(diplomatic, notgradable, gradable)
ArrayBuffer(direct, notgradable, gradable)
ArrayBuffer(disappointing, gradable, gradable)
ArrayBuffer(dominant, gradable, gradable)
ArrayBuffer(dramatic, gradable, gradable)
ArrayBuffer(eager, gradable, gradable)
ArrayBuffer(early, gradable, gradable)
ArrayBuffer(easy, gradable, gradable)
ArrayBuffer(educational, notgradable, gradable)
ArrayBuffer(efficient, gradable, gradable)
ArrayBuffer(elaborate, notgradable, gradable)
ArrayBuffer(elderly, notgradable, gradable)
ArrayBuffer(emotional, gradable, gradable)
ArrayBuffer(equal, notgradable, gradable)
ArrayBuffer(essential, notgradable, gradable)
ArrayBuffer(excessive, notgradable, gradable)
ArrayBuffer(exclusive, notgradable, gradable)
ArrayBuffer(expensive, gradable, gradable)
ArrayBuffer(experimental, notgradable, gradable)
ArrayBuffer(extensive, notgradable, gradable)
ArrayBuffer(extraordinary, notgradable, gradable)
ArrayBuffer(fair, gradable, gradable)
ArrayBuffer(familiar, gradable, gradable)
ArrayBuffer(famous, notgradable, gradable)
ArrayBuffer(far, notgradable, gradable)
ArrayBuffer(fast, gradable, gradable)
ArrayBuffer(favorable, gradable, gradable)
ArrayBuffer(few, gradable, gradable)
ArrayBuffer(fine, gradable, gradable)
ArrayBuffer(firm, gradable, gradable)
ArrayBuffer(flat, gradable, gradable)
ArrayBuffer(flexible, gradable, gradable)
ArrayBuffer(formal, notgradable, gradable)
ArrayBuffer(free, notgradable, gradable)
ArrayBuffer(frequent, notgradable, gradable)
ArrayBuffer(fresh, notgradable, gradable)
ArrayBuffer(friendly, gradable, gradable)
